name,battery,camera,display,processor,memory,warranty,price,rating,reviews
"Realme 3 (Radiant Blue, 32 GB)",4230 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Triple Slots (Dual SIM + Memory Card),8499,4.4,43549
"Realme 3 (Dynamic Black, 32 GB)",4230 mAh Battery,13MP + 2MP | 13MP Front Camera,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P70 Octa Core 2.1 GHz AI Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,Triple Slots (Dual SIM + Memory Card),8499,4.4,43549
"Samsung Galaxy S20+ (Cloud Blue, 128 GB)",4500 mAh Lithium-ion Battery,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,17.02 cm (6.7 inch) Quad HD+ Display,Exynos 990 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,77899,4.5,50
"Tecno Spark Go Plus (Vacation Blue, 32 GB)",4000 mAh Li-ion Battery,8MP Rear Camera | 8MP Front Camera,16.56 cm (6.52 inch) HD+ Display,Helio A22 (MT6761) Processor,2 GB RAM | 32 GB ROM | Expandable Upto 128 GB,Finger Print Sensor,5999,4.2,33
"Lenovo Z2 Plus (Black, 64 GB)",3500 mAh Li-Ion Battery,13MP Rear Camera | 8MP Front Camera,12.7 cm (5 inch) Full HD Display,Qualcomm Snapdragon 820 Quad Core 2.15GHz Processor,4 GB RAM | 64 GB ROM,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9899,3.8,961
"Meizu C9 Pro (Gold, 32 GB)",3000 mAh Battery,13MP Rear Camera | 8MP Front Camera,13.84 cm (5.45 inch) Full HD Display,Quad Core Processor,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,1 Year,6990,4.1,198
"Realme 6 Pro (Lightning Red, 128 GB)",4300 mAh Battery,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,16.76 cm (6.6 inch) Full HD+ Display,Snapdragon 720G Processor,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,90 Hz Ultra Smooth Display,19999,4.4,2036
"Gionee F205 Pro (Black, 16 GB)",3000 mAh Li-ion Polymer Battery,13MP Rear Camera | 5MP Front Camera,13.84 cm (5.45 inch) HD+ Display,MT6739WW 64-bit Processor,2 GB RAM | 16 GB ROM | Expandable Upto 256 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories,4499,4.1,1074
"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)",4500 mAh Lithium-ion Battery,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,Qualcomm SM7150 Processor,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,30999,4.4,206
"OPPO Reno2 (Ocean Blue, 256 GB)",4000 mAh Battery,48MP + 8MP + 13MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Display,Qualcomm Snapdragon 730G Processor,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB,Ultra Dark Mode l Ultra Steady Video,38990,4.5,176
